foodItem,path,image,rateFoodLoop.thisRepN,rateFoodLoop.thisTrialN,rateFoodLoop.thisN,rateFoodLoop.thisIndex,food_liking.started,foodImage.started,food_slider.response,food_slider.rt,participant,group,extra,practice,rainbow,date,expName,psychopyVersion,frameRate,
pickles.jpg,stimuli/food/,stimuli/food/pickles.jpg,0,0,0,47,11.287974199978635,11.287974199978635,2.0050000000000003,10.855843700002879,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
ritz.jpg,stimuli/food/,stimuli/food/ritz.jpg,0,1,1,56,21.415239199995995,21.415239199995995,1,2.0297844000160694,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
mini muffins.jpg,stimuli/food/,stimuli/food/mini muffins.jpg,0,2,2,41,23.465283500030637,23.465283500030637,10,2.0821640000212938,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
seaweed.jpg,stimuli/food/,stimuli/food/seaweed.jpg,0,3,3,59,25.582232999964617,25.582232999964617,10,0.5331692999461666,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
mashed potato.jpg,stimuli/food/,stimuli/food/mashed potato.jpg,0,4,4,40,26.148558899993077,26.148558899993077,10,0.5500420000171289,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
trail mix.jpg,stimuli/food/,stimuli/food/trail mix.jpg,0,5,5,69,26.73377419996541,26.73377419996541,6.58,7.266193200019188,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
grilled chicken strips.jpg,stimuli/food/,stimuli/food/grilled chicken strips.jpg,0,6,6,32,34.03223260003142,34.03223260003142,3.025,1.7995062000118196,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
baguette oil.jpg,stimuli/food/,stimuli/food/baguette oil.jpg,0,7,7,8,35.88234280003235,35.88234280003235,2.0050000000000003,1.5495179999852553,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
eggs.jpg,stimuli/food/,stimuli/food/eggs.jpg,0,8,8,24,37.48147679993417,37.48147679993417,2.0050000000000003,0.9841175000183284,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
string cheese.jpg,stimuli/food/,stimuli/food/string cheese.jpg,0,9,9,66,38.49877279996872,38.49877279996872,2.0050000000000003,0.5672640999546275,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
1%milk.jpg,stimuli/food/,stimuli/food/1%milk.jpg,0,10,10,0,39.09842319996096,39.09842319996096,2.0050000000000003,0.7529612999642268,666,,0,1,BR,2023-06-23_10h20.37.535,crystals,2022.2.4,60.13239950333312,
,,,,,,,39.916153299971484,39.916153299971484,,,,,,,,,,,,
