whichItem,TrialN,Box1_val1,Box1_val2,Box1_val3,Box1_val4,Box1_val5,Box1_val6,Box2_val1,Box2_val2,Box2_val3,Box2_val4,Box2_val5,Box2_val6,Box1_Sum,Box2_Sum,valDif,Round,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,choose_food_loop.thisRepN,choose_food_loop.thisTrialN,choose_food_loop.thisN,choose_food_loop.thisIndex,skip_practice.thisRepN,skip_practice.thisTrialN,skip_practice.thisN,skip_practice.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,instr_2_resp.started,better_option,agent_choice,agent_box_choice,correct_choice,choice_resp_2.keys,choice_resp_2.rt,fix.started,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
HV3,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,666,food,0,1,BR,0,2023-07-17_14h04.45.575,crystals,2022.2.4,59.84977705142061,
HV1,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,666,food,0,1,BR,0,2023-07-17_14h04.45.575,crystals,2022.2.4,59.84977705142061,
LV1,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,666,food,0,1,BR,0,2023-07-17_14h04.45.575,crystals,2022.2.4,59.84977705142061,
HV2,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,666,food,0,1,BR,0,2023-07-17_14h04.45.575,crystals,2022.2.4,59.84977705142061,
MV3,,,,,,,,,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,666,food,0,1,BR,0,2023-07-17_14h04.45.575,crystals,2022.2.4,59.84977705142061,
LV3,,,,,,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,,,666,food,0,1,BR,0,2023-07-17_14h04.45.575,crystals,2022.2.4,59.84977705142061,
LV2,,,,,,,,,,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,666,food,0,1,BR,0,2023-07-17_14h04.45.575,crystals,2022.2.4,59.84977705142061,
MV2,,,,,,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,666,food,0,1,BR,0,2023-07-17_14h04.45.575,crystals,2022.2.4,59.84977705142061,
MV1,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,666,food,0,1,BR,0,2023-07-17_14h04.45.575,crystals,2022.2.4,59.84977705142061,
,26,9,9,10,10,10,10,12,12,11,11,11,11,58,68,-10,1,,,,,,,,,0,0,0,0,0,0,0,25,19.102066799998283,left,right,Box1,0,j,2.6488635999849066,36.652849500009324,666,food,0,1,BR,0,2023-07-17_14h04.45.575,crystals,2022.2.4,59.84977705142061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,,,,,,,,,,,,,,,,,
